	L	s	dL	gs	utility
174	4.0	0.3	3.552713678800501e-15	0.16	211.62527000220297
175	4.0	0.35	3.552713678800501e-15	0.16	221.61233904292635
176	4.0	0.4	3.552713678800501e-15	0.18	230.02146183284796
177	4.0	0.45	3.552713678800501e-15	0.2	237.20602774025943
178	4.0	0.5	3.552713678800501e-15	0.22	243.41812140710542
179	4.0	0.55	3.552713678800501e-15	0.24	248.84335147382865
180	4.0	0.6	3.552713678800501e-15	0.26	253.60007360000162
181	4.0	0.65	3.552713678800501e-15	0.26	257.8091677023923
182	4.0	0.7	3.552713678800501e-15	0.28	261.54590320307346
183	4.0	0.75	3.552713678800501e-15	0.3	264.88957999817137
184	4.0	0.8	3.552713678800501e-15	0.32	267.8983998860075
185	4.0	0.85	3.552713678800501e-15	0.34	270.61795645438247
186	4.0	0.9	3.552713678800501e-15	0.36	273.08417393192343
187	4.0	0.95	3.552713678800501e-15	0.38	275.3259796467908
188	4.0	1.0	3.552713678800501e-15	0.4	277.36670256404966
189	4.5	0.0	-4.5	0.0	46.66671501302935
190	4.5	0.05	-0.7000000000000135	0.06	104.4994992850522
191	4.5	0.1	-1.5987211554602254e-14	0.08	141.92755397380014
192	4.5	0.15	-1.5987211554602254e-14	0.08	168.89848375222002
193	4.5	0.2	-1.5987211554602254e-14	0.1	189.433238619011
194	4.5	0.25	-1.5987211554602254e-14	0.12	205.67443504850863
195	4.5	0.3	-1.5987211554602254e-14	0.14	218.88815437022058
196	4.5	0.35	-1.5987211554602254e-14	0.16	229.87666010876592
197	4.5	0.4	-1.5987211554602254e-14	0.18	239.1756378721747
198	4.5	0.45	-1.5987211554602254e-14	0.18	247.16079843511392
199	4.5	0.5	-1.5987211554602254e-14	0.2	254.11242004024052
200	4.5	0.55	-1.5987211554602254e-14	0.22	260.21802426600186
201	4.5	0.6	-1.5987211554602254e-14	0.22	265.5959295623459
202	4.5	0.65	-1.5987211554602254e-14	0.24	270.3621075331469
203	4.5	0.7	-1.5987211554602254e-14	0.26	274.6154257875922
204	4.5	0.75	-1.5987211554602254e-14	0.28	278.4370076753985
205	4.5	0.8	-1.5987211554602254e-14	0.28	281.8889736453905
206	4.5	0.85	-1.5987211554602254e-14	0.3	285.02410229710546
207	4.5	0.9	-1.5987211554602254e-14	0.32	287.8768021771162
208	4.5	0.95	-1.5987211554602254e-14	0.34	290.47825118917484
209	4.5	1.0	-1.5987211554602254e-14	0.36	292.85294841579935
210	5.0	0.0	-5.0	0.0	47.77527007534283
211	5.0	0.05	-1.2000000000000135	0.06	105.67872070610196
212	5.0	0.1	-1.7763568394002505e-14	0.06	143.7554015129056
213	5.0	0.15	-1.7763568394002505e-14	0.08	171.66817413045607
214	5.0	0.2	-1.7763568394002505e-14	0.1	193.1687354160624
215	5.0	0.25	-1.7763568394002505e-14	0.12	210.32659410442005
216	5.0	0.3	-1.7763568394002505e-14	0.14	224.388906319816
217	5.0	0.35	-1.7763568394002505e-14	0.14	236.2007298895873
218	5.0	0.4	-1.7763568394002505e-14	0.16	246.28564920670334
219	5.0	0.45	-1.7763568394002505e-14	0.18	254.99647673823392
220	5.0	0.5	-1.7763568394002505e-14	0.2	262.5978889900293
221	5.0	0.55	-1.7763568394002505e-14	0.2	269.3110431430683
222	5.0	0.6	-1.7763568394002505e-14	0.2	275.2357353589316
223	5.0	0.65	-1.7763568394002505e-14	0.22	280.5109251082895
224	5.0	0.7	-1.7763568394002505e-14	0.24	285.24078085266814
225	5.0	0.75	-1.7763568394002505e-14	0.26	289.506183976674
226	5.0	0.8	-1.7763568394002505e-14	0.26	293.37720057255126
227	5.0	0.85	-1.7763568394002505e-14	0.28	296.90267267607436
228	5.0	0.9	-1.7763568394002505e-14	0.3	300.1197440799584
229	5.0	0.95	-1.7763568394002505e-14	0.32	303.06143794372775
230	5.0	1.0	-1.7763568394002505e-14	0.34	305.7536882155834
231	5.5	0.0	-5.5	0.0	48.56423680500785
232	5.5	0.05	-1.7000000000000135	0.06	106.51735047077395
233	5.5	0.1	-0.10000000000001918	0.06	144.80869691152407
