	L	s	dL	gs	utility
176	1.2	0.8	5.799999999999998	0.28	183.69077991617277
177	1.2	0.84	5.799999999999998	0.28	183.69077991617277
178	1.2	0.88	5.799999999999998	0.28	183.69077991617277
179	1.2	0.92	5.799999999999998	0.36	183.69077991617277
180	1.2	0.96	5.799999999999998	0.44	183.69077991617277
181	1.2	1.0	5.799999999999998	0.56	183.69077991617277
182	1.4	0.0	-1.4	0.0	42.32594481320092
183	1.4	0.04	-2.220446049250313e-16	0.16	53.14232488620762
184	1.4	0.08	-2.220446049250313e-16	0.16	63.95870495921432
185	1.4	0.12	-2.220446049250313e-16	0.16	74.77508503222103
186	1.4	0.16	-2.220446049250313e-16	0.16	85.59146510522773
187	1.4	0.2	-2.220446049250313e-16	0.16	96.40784517823442
188	1.4	0.24	-2.220446049250313e-16	0.16	107.22422525124112
189	1.4	0.28	-2.220446049250313e-16	0.16	118.04060532424784
190	1.4	0.32	-2.220446049250313e-16	0.16	128.85698539725453
191	1.4	0.36	-2.220446049250313e-16	0.16	139.67336547026122
192	1.4	0.4	-2.220446049250313e-16	0.16	150.48974554326793
193	1.4	0.44	2.599999999999999	0.2	155.5416136360811
194	1.4	0.48	5.199999999999999	0.24	160.5934817288943
195	1.4	0.52	5.599999999999998	0.28	165.6453498217075
196	1.4	0.56	5.599999999999998	0.28	170.69721791452068
197	1.4	0.6	5.599999999999998	0.28	175.74908600733386
198	1.4	0.64	5.599999999999998	0.28	180.80095410014704
199	1.4	0.68	5.599999999999998	0.28	185.85282219296022
200	1.4	0.72	5.599999999999998	0.28	190.90469028577343
201	1.4	0.76	5.599999999999998	0.28	195.9565583785866
202	1.4	0.8	5.599999999999998	0.28	201.0084264713998
203	1.4	0.84	5.599999999999998	0.28	201.0084264713998
204	1.4	0.88	5.599999999999998	0.28	201.0084264713998
205	1.4	0.92	5.599999999999998	0.36	201.0084264713998
206	1.4	0.96	5.599999999999998	0.44	201.0084264713998
207	1.4	1.0	5.599999999999998	0.56	201.0084264713998
208	1.6	0.0	-1.6	0.0	46.610888262858026
209	1.6	0.04	-4.440892098500626e-16	0.16	58.602651809189936
210	1.6	0.08	-4.440892098500626e-16	0.16	70.59441535552185
211	1.6	0.12	-4.440892098500626e-16	0.16	82.58617890185374
212	1.6	0.16	-4.440892098500626e-16	0.16	94.57794244818567
213	1.6	0.2	-4.440892098500626e-16	0.16	106.56970599451756
214	1.6	0.24	-4.440892098500626e-16	0.16	118.56146954084947
215	1.6	0.28	-4.440892098500626e-16	0.16	130.5532330871814
216	1.6	0.32	-4.440892098500626e-16	0.16	142.54499663351328
217	1.6	0.36	-4.440892098500626e-16	0.16	154.5367601798452
218	1.6	0.4	-4.440892098500626e-16	0.16	166.52852372617713
219	1.6	0.44	2.399999999999999	0.2	171.69753519621435
220	1.6	0.48	4.999999999999998	0.24	176.86654666625157
221	1.6	0.52	5.399999999999999	0.28	182.03555813628878
222	1.6	0.56	5.399999999999999	0.28	187.204569606326
223	1.6	0.6	5.399999999999999	0.28	192.37358107636322
224	1.6	0.64	5.399999999999999	0.28	197.54259254640044
225	1.6	0.68	5.399999999999999	0.28	202.71160401643766
226	1.6	0.72	5.399999999999999	0.28	207.88061548647488
227	1.6	0.76	5.399999999999999	0.28	213.0496269565121
228	1.6	0.8	5.399999999999999	0.28	218.21863842654932
229	1.6	0.84	5.399999999999999	0.28	218.21863842654932
230	1.6	0.88	5.399999999999999	0.28	218.21863842654932
231	1.6	0.92	5.399999999999999	0.36	218.21863842654932
232	1.6	0.96	5.399999999999999	0.44	218.21863842654932
233	1.6	1.0	5.399999999999999	0.56	218.21863842654932
234	1.8	0.0	-1.8	0.0	50.78753075478925
235	1.8	0.04	-4.440892098500626e-16	0.16	63.91352026654594
236	1.8	0.08	-4.440892098500626e-16	0.16	77.03950977830262
237	1.8	0.12	-4.440892098500626e-16	0.16	90.1654992900593
238	1.8	0.16	-4.440892098500626e-16	0.16	103.29148880181599
239	1.8	0.2	-4.440892098500626e-16	0.16	116.41747831357267
240	1.8	0.24	-4.440892098500626e-16	0.16	129.54346782532934
241	1.8	0.28	-4.440892098500626e-16	0.16	142.66945733708604
242	1.8	0.32	-4.440892098500626e-16	0.16	155.79544684884272
243	1.8	0.36	-4.440892098500626e-16	0.16	168.92143636059942
244	1.8	0.4	-4.440892098500626e-16	0.16	182.04742587235611
245	1.8	0.44	2.1999999999999993	0.2	187.3529395147793
246	1.8	0.48	4.799999999999999	0.24	192.65845315720247
247	1.8	0.52	5.199999999999998	0.28	197.96396679962567
248	1.8	0.56	5.199999999999998	0.28	203.26948044204886
249	1.8	0.6	5.199999999999998	0.28	208.57499408447202
250	1.8	0.64	5.199999999999998	0.28	213.88050772689522
251	1.8	0.68	5.199999999999998	0.28	219.1860213693184
252	1.8	0.72	5.199999999999998	0.28	224.49153501174158
253	1.8	0.76	5.199999999999998	0.28	229.79704865416477
254	1.8	0.8	5.199999999999998	0.28	235.10256229658796
255	1.8	0.84	5.199999999999998	0.28	235.10256229658796
256	1.8	0.88	5.199999999999998	0.28	235.10256229658796
257	1.8	0.92	5.199999999999998	0.36	235.10256229658796
258	1.8	0.96	5.199999999999998	0.44	235.10256229658796
259	1.8	1.0	5.199999999999998	0.56	235.10256229658796
260	2.0	0.0	-2.0	0.0	54.85305108751135
261	2.0	0.04	-4.440892098500626e-16	0.16	69.07357547415589
262	2.0	0.08	-4.440892098500626e-16	0.16	83.29409986080042
263	2.0	0.12	-4.440892098500626e-16	0.16	97.51462424744494
264	2.0	0.16	-4.440892098500626e-16	0.16	111.73514863408948
265	2.0	0.2	-4.440892098500626e-16	0.16	125.95567302073403
266	2.0	0.24	-4.440892098500626e-16	0.16	140.17619740737854
267	2.0	0.28	-4.440892098500626e-16	0.16	154.39672179402308
268	2.0	0.32	-4.440892098500626e-16	0.16	168.6172461806676
269	2.0	0.36	-4.440892098500626e-16	0.16	182.83777056731213
270	2.0	0.4	-4.440892098500626e-16	0.16	197.05829495395668
271	2.0	0.44	1.9999999999999991	0.2	202.51868839840645
272	2.0	0.48	4.599999999999999	0.24	207.97908184285623
273	2.0	0.52	4.999999999999998	0.24	213.439475287306
274	2.0	0.56	4.999999999999998	0.24	218.8998687317558
275	2.0	0.6	4.999999999999998	0.24	224.36026217620554
276	2.0	0.64	4.999999999999998	0.24	229.82065562065532
277	2.0	0.68	4.999999999999998	0.24	235.2810490651051
278	2.0	0.72	4.999999999999998	0.28	240.74144250955487
279	2.0	0.76	4.999999999999998	0.28	246.20183595400465
280	2.0	0.8	4.999999999999998	0.28	251.66222939845443
