	L	s	dL	gs	utility
95	2.0	0.55	0.5000000000000022	0.44	414.9135454664836
96	2.0	0.6	0.5000000000000022	0.48	418.3714052616759
97	2.0	0.65	0.6000000000000023	0.52	421.38202133363933
98	2.0	0.7	0.6000000000000023	0.56	424.02080442083684
99	2.0	0.75	0.6000000000000023	0.6	426.35522244659654
100	2.0	0.8	0.7000000000000024	0.64	428.4404544745694
101	2.0	0.85	0.7000000000000024	0.68	430.3075229759421
102	2.0	0.9	0.7000000000000024	0.72	431.9839861679367
103	2.0	0.95	0.7000000000000024	0.74	433.48321483477025
104	2.0	1.0	0.7000000000000024	0.76	434.82199682380656
105	2.5	0.0	-2.5	0.0	124.78293540206384
106	2.5	0.05	2.220446049250313e-15	0.06	258.07337470561686
107	2.5	0.1	2.220446049250313e-15	0.1	322.68397969352554
108	2.5	0.15	2.220446049250313e-15	0.14	361.0887191515011
109	2.5	0.2	2.220446049250313e-15	0.18	386.5580228576873
110	2.5	0.25	2.220446049250313e-15	0.22	404.65744283974516
111	2.5	0.3	2.220446049250313e-15	0.24	418.14956305494354
112	2.5	0.35	2.220446049250313e-15	0.28	428.5666864361987
113	2.5	0.4	2.220446049250313e-15	0.32	436.82849771409764
114	2.5	0.45	2.220446049250313e-15	0.36	443.5206867920702
115	2.5	0.5	2.220446049250313e-15	0.4	449.0272593128697
116	2.5	0.55	2.220446049250313e-15	0.4	453.55400241593503
117	2.5	0.6	2.220446049250313e-15	0.46	457.32800431675963
118	2.5	0.65	0.10000000000000231	0.5	460.55251698143394
119	2.5	0.7	0.10000000000000231	0.54	463.3506477913345
120	2.5	0.75	0.10000000000000231	0.58	465.79700910412737
121	2.5	0.8	0.2000000000000024	0.62	467.9639167166081
122	2.5	0.85	0.2000000000000024	0.66	469.88909703537786
123	2.5	0.9	0.2000000000000024	0.7000000000000001	471.60726957558285
124	2.5	0.95	0.2000000000000024	0.74	473.13991967392315
125	2.5	1.0	0.2000000000000024	0.76	474.4994807995186
126	3.0	0.0	-3.0	0.0	131.54550822058587
127	3.0	0.05	-0.2999999999999976	0.06	265.9173440124465
128	3.0	0.1	2.6645352591003757e-15	0.08	334.6404565295439
129	3.0	0.15	2.6645352591003757e-15	0.12	377.17881206196535
130	3.0	0.2	2.6645352591003757e-15	0.16	406.09395666298667
131	3.0	0.25	2.6645352591003757e-15	0.18	427.06042774505215
132	3.0	0.3	2.6645352591003757e-15	0.22	442.93324429240675
133	3.0	0.35	2.6645352591003757e-15	0.24	455.3366539024161
134	3.0	0.4	2.6645352591003757e-15	0.28	465.280726439492
135	3.0	0.45	2.6645352591003757e-15	0.32	473.4066332395325
136	3.0	0.5	2.6645352591003757e-15	0.34	480.1173077017456
137	3.0	0.55	2.6645352591003757e-15	0.36	485.67395335484866
138	3.0	0.6	2.6645352591003757e-15	0.38	490.34940379156285
139	3.0	0.65	2.6645352591003757e-15	0.42	494.34749464745227
140	3.0	0.7	2.6645352591003757e-15	0.46	497.80547068156056
141	3.0	0.75	2.6645352591003757e-15	0.5	500.82462901369877
142	3.0	0.8	2.6645352591003757e-15	0.54	503.4799855005283
143	3.0	0.85	2.6645352591003757e-15	0.58	505.82801722696604
144	3.0	0.9	2.6645352591003757e-15	0.62	507.91240128233534
145	3.0	0.95	2.6645352591003757e-15	0.66	509.7634970222651
146	3.0	1.0	2.6645352591003757e-15	0.68	511.400224253014
147	3.5	0.0	-3.5	0.0	136.29235279299942
148	3.5	0.05	-0.7999999999999976	0.06	271.1155645289506
149	3.5	0.1	3.1086244689504383e-15	0.08	342.23606677527687
150	3.5	0.15	3.1086244689504383e-15	0.1	387.28833724739513
151	3.5	0.2	3.1086244689504383e-15	0.14	418.8570729174213
152	3.5	0.25	3.1086244689504383e-15	0.16	442.11912959608725
153	3.5	0.3	3.1086244689504383e-15	0.2	459.99786528747677
154	3.5	0.35	3.1086244689504383e-15	0.22	474.16957567863426
155	3.5	0.4	3.1086244689504383e-15	0.24	485.6312300848501
156	3.5	0.45	3.1086244689504383e-15	0.28	495.09912006963253
157	3.5	0.5	3.1086244689504383e-15	0.28	502.94344336327555
158	3.5	0.55	3.1086244689504383e-15	0.3	509.5016689476979
159	3.5	0.6	3.1086244689504383e-15	0.34	515.0572878829304
160	3.5	0.65	3.1086244689504383e-15	0.38	519.8421016585637
161	3.5	0.7	3.1086244689504383e-15	0.4	523.9970156519096
162	3.5	0.75	3.1086244689504383e-15	0.44	527.6386058404242
163	3.5	0.8	3.1086244689504383e-15	0.46	530.8546242913992
164	3.5	0.85	3.1086244689504383e-15	0.5	533.707066362213
165	3.5	0.9	3.1086244689504383e-15	0.54	536.2462862978008
166	3.5	0.95	3.1086244689504383e-15	0.56	538.5053901406878
167	3.5	1.0	3.1086244689504383e-15	0.58	540.5069731107342
168	4.0	0.0	-4.0	0.0	139.4534848406768
169	4.0	0.05	-1.2999999999999976	0.06	274.5669700355287
170	4.0	0.1	-0.19999999999999662	0.08	346.3331762697633
171	4.0	0.15	3.552713678800501e-15	0.1	393.26186258075273
172	4.0	0.2	3.552713678800501e-15	0.12	426.5758632550378
173	4.0	0.25	3.552713678800501e-15	0.16	451.5998705512767
174	4.0	0.3	3.552713678800501e-15	0.18	471.1641069573826
175	4.0	0.35	3.552713678800501e-15	0.2	486.834609522747
176	4.0	0.4	3.552713678800501e-15	0.22	499.62092085321467
177	4.0	0.45	3.552713678800501e-15	0.24	510.23114293021774
178	4.0	0.5	3.552713678800501e-15	0.26	519.1193547567348
179	4.0	0.55	3.552713678800501e-15	0.28	526.5905886654494
180	4.0	0.6	3.552713678800501e-15	0.3	532.9583944527614
181	4.0	0.65	3.552713678800501e-15	0.32	538.4905625798549
182	4.0	0.7	3.552713678800501e-15	0.36	543.3129841651566
183	4.0	0.75	3.552713678800501e-15	0.38	547.5588867912938
184	4.0	0.8	3.552713678800501e-15	0.42	551.31765263051
185	4.0	0.85	3.552713678800501e-15	0.44	554.6610543902184
186	4.0	0.9	3.552713678800501e-15	0.46	557.648273146665
187	4.0	0.95	3.552713678800501e-15	0.5	560.3148569152869
188	4.0	1.0	3.552713678800501e-15	0.5	562.6798486973252
189	4.5	0.0	-4.5	0.0	141.5378320590135
190	4.5	0.05	-1.8000000000000096	0.06	276.8344300636768
191	4.5	0.1	-0.7000000000000135	0.08	348.8204049776159
192	4.5	0.15	-0.10000000000001563	0.1	396.4256504396255
193	4.5	0.2	-1.5987211554602254e-14	0.12	431.01938607903253
194	4.5	0.25	-1.5987211554602254e-14	0.14	457.3812459240628
195	4.5	0.3	-1.5987211554602254e-14	0.16	478.16274810650714
196	4.5	0.35	-1.5987211554602254e-14	0.18	494.9706312266858
197	4.5	0.4	-1.5987211554602254e-14	0.2	508.8462070991436
198	4.5	0.45	-1.5987211554602254e-14	0.22	520.4998342998614
199	4.5	0.5	-1.5987211554602254e-14	0.22	530.3103296948127
200	4.5	0.55	-1.5987211554602254e-14	0.24	538.6175433915416
201	4.5	0.6	-1.5987211554602254e-14	0.28	545.7465473774482
202	4.5	0.65	-1.5987211554602254e-14	0.3	551.9473984388311
203	4.5	0.7	-1.5987211554602254e-14	0.32	557.3994299295315
204	4.5	0.75	-1.5987211554602254e-14	0.34	562.2291273664497
205	4.5	0.8	-1.5987211554602254e-14	0.36	566.5127127664477
206	4.5	0.85	-1.5987211554602254e-14	0.4	570.3314666192948
207	4.5	0.9	-1.5987211554602254e-14	0.42	573.76049772116
208	4.5	0.95	-1.5987211554602254e-14	0.44	576.8164820620322
209	4.5	1.0	-1.5987211554602254e-14	0.46	579.5425326665744
210	5.0	0.0	-5.0	0.0	143.1463796470286
211	5.0	0.05	-2.3000000000000096	0.06	278.5760718184529
212	5.0	0.1	-1.2000000000000135	0.08	350.71713172921767
213	5.0	0.15	-0.6000000000000156	0.1	398.4965762813939
214	5.0	0.2	-0.10000000000001741	0.12	433.5439748061834
215	5.0	0.25	-1.7763568394002505e-14	0.14	460.7181524379523
216	5.0	0.3	-1.7763568394002505e-14	0.16	482.4547258176533
217	5.0	0.35	-1.7763568394002505e-14	0.16	500.2446348686628
218	5.0	0.4	-1.7763568394002505e-14	0.18	515.0658711914757
219	5.0	0.45	-1.7763568394002505e-14	0.2	527.5764610987111
220	5.0	0.5	-1.7763568394002505e-14	0.2	538.0991578996376
221	5.0	0.55	-1.7763568394002505e-14	0.24	547.1119060771807
