	L	s	dL	gs	utility
39	3.0	0.6	4.200000000000006	0.28	316.26012929745025
40	3.0	0.7	7.000000000000009	0.3	325.7401127199175
41	3.0	0.8	7.000000000000009	0.32	334.4847763725196
42	3.0	0.9	7.000000000000009	0.34	342.525281829935
43	3.0	1.0	7.000000000000009	0.36	349.9116916825264
44	4.0	0.0	-4.0	0.0	123.63904232885152
45	4.0	0.1	3.552713678800501e-15	0.06	245.29757007405
46	4.0	0.2	3.552713678800501e-15	0.1	305.5290433436967
47	4.0	0.3	3.552713678800501e-15	0.14	342.0503264000489
48	4.0	0.4	3.552713678800501e-15	0.18	366.7907772396362
49	4.0	0.5	3.552713678800501e-15	0.22	384.77686234564203
50	4.0	0.6	3.552713678800501e-15	0.26	398.51062777276405
51	4.0	0.7	3.000000000000006	0.28	409.49024816751097
52	4.0	0.8	6.000000000000009	0.3	419.21875576832065
53	4.0	0.9	6.000000000000009	0.32	428.2700447242954
54	4.0	1.0	6.000000000000009	0.32	436.4436710763597
55	5.0	0.0	-5.0	0.0	144.91556298943166
56	5.0	0.1	4.440892098500626e-15	0.06	283.7288564001011
57	5.0	0.2	4.440892098500626e-15	0.1	356.44154142718753
58	5.0	0.3	4.440892098500626e-15	0.12	402.198980773431
59	5.0	0.4	4.440892098500626e-15	0.16	434.0441747233144
60	5.0	0.5	4.440892098500626e-15	0.18	457.56744881361067
61	5.0	0.6	4.440892098500626e-15	0.22	475.7793670736248
62	5.0	0.7	4.440892098500626e-15	0.26	490.271022257496
63	5.0	0.8	4.440892098500626e-15	0.28	502.0813663738793
64	5.0	0.9	2.2000000000000064	0.28	512.1657023282469
65	5.0	1.0	5.000000000000009	0.3	521.4087254899209
66	6.0	0.0	-6.0	0.0	164.05791559026903
67	6.0	0.1	5.329070518200751e-15	0.06	317.182012667787
68	6.0	0.2	5.329070518200751e-15	0.08	401.7270864574478
69	6.0	0.3	5.329070518200751e-15	0.12	456.49437915109377
70	6.0	0.4	5.329070518200751e-15	0.14	495.44814197148304
71	6.0	0.5	5.329070518200751e-15	0.16	524.6927498045931
72	6.0	0.6	5.329070518200751e-15	0.2	547.5593611930885
73	6.0	0.7	5.329070518200751e-15	0.22	565.9658243824099
74	6.0	0.8	5.329070518200751e-15	0.24	581.0409780408515
75	6.0	0.9	5.329070518200751e-15	0.28	593.5326699122243
76	6.0	1.0	1.2000000000000064	0.28	604.0230405631635
77	7.0	0.0	-7.0	0.0	181.43426570755113
78	7.0	0.1	6.217248937900877e-15	0.06	346.63286609676413
79	7.0	0.2	6.217248937900877e-15	0.08	442.42593432536177
80	7.0	0.3	6.217248937900877e-15	0.1	506.01492903156316
81	7.0	0.4	6.217248937900877e-15	0.12	551.8601704096743
82	7.0	0.5	6.217248937900877e-15	0.14	586.7554878772597
83	7.0	0.6	6.217248937900877e-15	0.18	614.3771760667801
84	7.0	0.7	6.217248937900877e-15	0.2	636.8051186487294
85	7.0	0.8	6.217248937900877e-15	0.22	655.3261111023019
86	7.0	0.9	6.217248937900877e-15	0.24	670.7694368914134
87	7.0	1.0	6.217248937900877e-15	0.28	683.6757961288502
88	8.0	0.0	-8.0	0.0	197.3567107332779
89	8.0	0.1	7.105427357601002e-15	0.04	373.56061557082114
90	8.0	0.2	7.105427357601002e-15	0.08	479.0678978359576
91	8.0	0.3	7.105427357601002e-15	0.1	550.9595821237025
92	8.0	0.4	7.105427357601002e-15	0.12	603.7174561377458
93	8.0	0.5	7.105427357601002e-15	0.14	644.3860701879124
94	8.0	0.6	7.105427357601002e-15	0.16	676.8273857902075
95	8.0	0.7	7.105427357601002e-15	0.18	703.3402447601236
96	8.0	0.8	7.105427357601002e-15	0.2	725.3700500005029
97	8.0	0.9	7.105427357601002e-15	0.22	743.8517424356052
98	8.0	1.0	7.105427357601002e-15	0.24	759.3854394423963
99	9.0	0.0	-9.0	0.0	212.4314302127847
100	9.0	0.1	-3.197442310920451e-14	0.04	399.6623077588696
101	9.0	0.2	-3.197442310920451e-14	0.06	513.882562564518
