	L	s	dL	gs
47	2.1952536001235132	8.529673149489065	0.020109252418034594	0.2045828542191339
48	2.215362852541548	8.38576645683438	1.967637477432714e-15	0.18645384399897422
49	2.2153628525415496	8.232326529458055	1.9676374774327155e-15	0.16993132721061793
50	2.2153628525415514	8.069100876125358	1.9676374774327167e-15	0.15487294521919845
51	2.215362852541553	7.895893285636419	1.9676374774327175e-15	0.14114895443110567
52	2.215362852541555	7.712573873689095	1.9676374774327187e-15	0.12864110841823548
53	2.2153628525415567	7.51908912526612	1.9676374774327206e-15	0.11724163910225423
54	2.2153628525415585	7.288066914963812	1.9676374774327226e-15	0.10556202315039066
55	2.2153628525415603	7.006211886135361	1.967637477432724e-15	0.0935451066969158
56	2.215362852541562	6.708012910681536	1.9676374774327258e-15	0.08289616592958395
57	2.215362852541564	6.394367737857898	1.9676374774327273e-15	0.07345947392084892
58	2.2153628525415656	6.066505348069047	1.967637477432729e-15	0.06509703130675258
59	2.2153628525415674	5.770083378529742	-0.09973896388936034	0.05729870985852443
60	2.115623888652207	6.03339946423503	-0.35170982370400433	0.05789888108604232
61	1.7639140649482028	6.403757015643572	-0.47338633152232784	0.05853018620671954
62	1.290527733425875	6.570770755675127	-0.4163355311486392	0.05578906201960552
63	0.8741922022772357	6.752708553611978	-0.19085668053132893	0.056278464777938804
64	0.6833355217459067	6.58367992946223	-0.0215560819818044	0.0532052793549569
65	0.6617794397641024	6.454582683507715	-0.03866043558378529	0.05073736779517756
66	0.6231190041803171	6.3193816197016215	-0.033033743763272456	0.048394894084165155
67	0.5900852604170446	6.1843331633362535	-0.030437172675672187	0.046218544303666835
68	0.5596480877413724	6.049541354487518	-0.027848478074703652	0.04419226414683288
69	0.5317996096666687	5.91562918527913	-0.025559161069263	0.0423056154763465
70	0.5062404485974057	5.783046472359827	-0.02350544259653354	0.04054790391782044
71	0.48273500600087216	5.652157788000032	-0.02166314081634462	0.03890898379434121
72	0.46107186518452753	5.523250020256367	-0.02000754382999039	0.03737932306181222
73	0.44106432135453716	5.396545437152934	-0.018517065626555	0.0359500625728437
74	0.42254725572798213	5.272212324732597	-0.017172659838506944	0.034613028481946966
75	0.40537459588947516	5.150374105097457	-0.015957592894106087	0.033360718316783236
76	0.3894170029953691	5.031117063451967	-0.014857186196204353	0.032186270754162714
77	0.3745598167991647	4.914496872177134	-0.013858574336593679	0.031083426255130164
78	0.36070124246257107	4.8005440804740775	-0.012950482597892405	0.030046483321086424
79	0.3477507598646787	4.68926872114435	-0.012123026455267867	0.0290702534923642
80	0.3356277334094108	4.5806641678602755	-0.011367533360839843	0.02815001707513841
81	0.324260200048571	4.474710358679515	-0.010676385850841488	0.027281480805684787
82	0.3135838141977295	4.37137648528371	-0.01004288435098668	0.026460738135478674
83	0.30354092984674286	4.270623232811905	-0.009461127765540856	0.025684232470264853
84	0.294079802081202	8.925157035211367	2.1059201979187994	0.31704498056722413
85	2.4000000000000012	8.743282537467321	0.05930433121638667	0.28186431593545935
86	2.459304331216388	8.595518274994266	0.01849232699486862	0.25265732445605305
87	2.4777966582112567	8.489544920589765	0.007309308826193309	0.23390047800457076
88	2.48510596703745	8.414731845525472	0.003171611279134799	0.22179375604279966
89	2.488277578316585	8.271990301853826	0.0012023478086071672	0.2009344449493942
90	2.489479926125192	8.11014617101086	2.655010522699662e-05	0.18092449225844015
