	L	s	dL	gs	Anet
5852	1.8181014078260467	0.06002657516010171	1.6147984352575108e-15	0.07529720381503943	17.5605914199469
5853	1.8181014078260482	0.0531816775470273	1.6147984352575124e-15	0.06982128572457984	17.055766491280618
5854	1.8181014078260498	0.10361389031572316	1.6147984352575136e-15	0.11069294518809733	19.9019822260219
5855	1.8181014078260513	0.09355134034157857	1.6147984352575154e-15	0.10211701596022073	19.446469289261497
5856	1.818101407826053	0.08426838581756493	1.6147984352575166e-15	0.09469065234100976	19.002966769644072
5857	1.8181014078260544	0.08532419133989566	1.6147984352575177e-15	0.09553529675887427	19.05597192271983
5858	1.818101407826056	0.0766395484631762	1.6147984352575193e-15	0.08858758245749866	18.598265875700182
5859	1.8181014078260576	0.06858648804408193	1.6147984352575207e-15	0.08214513412222318	18.12491547644057
5860	1.8181014078260591	0.06111907884439821	1.6147984352575219e-15	0.07617120676247613	17.636521707207308
5861	1.8181014078260607	0.05419472993186482	1.6147984352575235e-15	0.07063172763244936	17.133812625185197
5862	1.8181014078260622	0.04777394775957766	-0.0809437742441228	0.06737435129730134	16.19878457220045
5863	1.7371576335819394	0.7969758404462817	0.41223133068757456	0.5480643003539355	24.894776139883216
5864	2.149388964269514	0.7380756725017396	0.05339900388788077	0.49801446309620895	28.856188216933656
5865	2.202787968157395	0.6832246591379049	1.956468736492482e-15	0.4648324552639582	29.23669992626142
5866	2.2027879681573967	0.6320282921546795	1.9564687364924876e-15	0.4522537232303925	29.173043571287785
5867	2.2027879681573985	0.5822173391503648	1.9564687364924852e-15	0.42810116541851495	29.04110077923924
5868	2.2027879681574003	0.5350665343334615	1.9564687364924908e-15	0.39802981428963774	28.85620597690089
5869	2.202787968157402	0.6200086168671516	1.9564687364924927e-15	0.44744585311538027	29.147834033687456
5870	2.202787968157404	0.5707271997849274	1.95646873649249e-15	0.42077310353877395	28.998297224680734
5871	2.2027879681574056	0.5243835032949543	1.9564687364924955e-15	0.3912165015852804	28.810680234517005
5872	2.2027879681574074	0.4812951531631199	1.9564687364924947e-15	0.3607015663516067	28.587499842653003
5873	2.202787968157409	0.44156769964037734	1.9564687364924967e-15	0.3302875787788692	28.32785321022426
5874	2.202787968157411	0.5025920648063148	1.9564687364925002e-15	0.37731858402183877	28.713139991704082
5875	2.2027879681574127	0.6674683375619721	1.956468736492498e-15	0.4622763013135406	29.224025412389576
5876	2.2027879681574145	0.6165535038370832	1.9564687364925038e-15	0.4460638079033504	29.140493994510642
5877	2.2027879681574163	0.5674243043830841	1.9564687364925006e-15	0.4186666171753582	28.985736694945277
5878	2.202787968157418	0.5213126150339318	1.9564687364925065e-15	0.3892579823291735	28.797322428827272
